Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Indonesia,IDN,14.664427520555556,107.44599628448475,78.92768764495848,3.2577337622642513,6.744444370269775,248783952.0
"Iran, Islamic Rep.",IRN,27.923527612222223,108.27835559844988,85.34384441375731,3.4791637659072876,11.555555555555555,76503351.66666667
Iraq,IRQ,8.613333333333333,,,,15.155555619133834,32942204.444444444
Ireland,IRL,74.95664061222222,104.74942016601562,122.88003322056372,5.747781674067181,11.466666645473904,4601579.333333333
Isle of Man,IMN,,,,,,81289.22222222222
Israel,ISR,70.2314248911111,104.21469688415537,101.94566917419438,5.635709966932024,6.877777788374159,7921855.555555556
Italy,ITA,54.535971582222224,101.9330463409425,101.94542980194112,4.285363356272378,10.033333142598458,59830326.55555555
Jamaica,JAM,34.61361885555556,,89.15459769112724,6.110976219177248,12.933333184983978,2838786.888888889
Japan,JPN,83.39386709333333,101.91037641252771,101.48819078717915,3.5917316277821847,4.122222211625841,127610945.66666667
Jordan,JOR,39.79073058444445,92.37865829467773,86.40786997477211,,12.899999936421711,7988746.444444444
Kazakhstan,KAZ,49.26840768,108.90221065945077,103.79806082589292,2.81049664815267,5.555555555555555,16789107.111111112
Kenya,KEN,12.7,113.10396957397467,59.9190158843994,5.385714928309121,11.855555428398977,43713129.44444445
Kiribati,KIR,10.692697952222224,109.76582717895499,87.1360931396484,,,106524.88888888889
"Korea, Dem. People’s Rep.",PRK,0.0,88.31158447265625,97.72576522827171,,4.31111129124959,24853441.555555556
"Korea, Rep.",KOR,85.42456920777778,100.93834209442136,97.5790853500366,4.7096476554870605,3.444444444444447,50165483.55555555
Kosovo,XKX,,,,,,1793848.5555555555
Kuwait,KWT,66.71885816222222,103.65923418317514,93.66514873504639,,2.7777777645323,3380575.777777778
Kyrgyz Republic,KGZ,22.371893642222222,101.9212789535523,88.23229435511998,6.354305744171143,8.18888881471422,5651822.222222222
